id,cv_summary,work_experience_years,salary_expectation,residence_country_id,availability_date,education_level,is_hired,auto_contact_enabled,languages,work_experience,computer_skills
7e8f9a1b-2c3d-4e5f-6a7b-8c9d0e1f2a3b,"{""role"": ""Full-Stack Developer"", ""typ_prace"": ""Práca v teréne""}",8,3200,550e8400-e29b-41d4-a716-446655440000,2025-02-01,university,false,true,"{""sk"": ""native"", ""en"": ""C1"", ""de"": ""B2""}","{""current"": ""Senior Developer at Tech Corp"", ""years"": 8}","{""level"": ""advanced""}"
9f0a1b2c-3d4e-5f6a-7b8c-9d0e1f2a3b4c,"{""role"": ""Frontend Developer"", ""typ_prace"": ""Práca v kancelárii""}",5,2400,550e8400-e29b-41d4-a716-446655440000,2025-03-15,university,false,true,"{""sk"": ""native"", ""en"": ""B2""}","{""current"": ""Mid-level at StartupX"", ""years"": 5}","{""level"": ""intermediate""}"
1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,"{""role"": ""Backend Developer"", ""typ_prace"": ""Práca v teréne""}",6,2800,550e8400-e29b-41d4-a716-446655440000,2025-01-20,university,false,true,"{""sk"": ""native"", ""en"": ""C1"", ""de"": ""A2""}","{""current"": ""Backend Engineer"", ""years"": 6}","{""level"": ""advanced""}"
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,"{""role"": ""DevOps Engineer"", ""typ_prace"": ""Práca v kancelárii""}",7,3000,550e8400-e29b-41d4-a716-446655440000,2025-02-10,university,false,true,"{""sk"": ""native"", ""en"": ""C2""}","{""current"": ""Senior DevOps"", ""years"": 7}","{""level"": ""expert""}"
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,"{""role"": ""Mobile Developer"", ""typ_prace"": ""Práca v kancelárii""}",4,2200,550e8400-e29b-41d4-a716-446655440000,2025-04-01,university,false,true,"{""sk"": ""native"", ""en"": ""B2""}","{""current"": ""iOS Developer"", ""years"": 4}","{""level"": ""intermediate""}"
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,"{""role"": ""QA Engineer"", ""typ_prace"": ""Práca v teréne""}",5,2100,550e8400-e29b-41d4-a716-446655440000,2025-03-01,university,false,true,"{""sk"": ""native"", ""en"": ""C1""}","{""current"": ""QA Lead"", ""years"": 5}","{""level"": ""advanced""}"
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9a0b,"{""role"": ""UX/UI Designer"", ""typ_prace"": ""Práca v kancelárii""}",6,2600,550e8400-e29b-41d4-a716-446655440000,2025-02-15,university,false,true,"{""sk"": ""native"", ""en"": ""B2"", ""de"": ""B1""}","{""current"": ""Senior Designer"", ""years"": 6}","{""level"": ""advanced""}"
6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c,"{""role"": ""Project Manager"", ""typ_prace"": ""Práca v kancelárii""}",9,3400,550e8400-e29b-41d4-a716-446655440000,2025-01-15,university,false,true,"{""sk"": ""native"", ""en"": ""C2"", ""de"": ""C1""}","{""current"": ""Senior PM"", ""years"": 9}","{""level"": ""advanced""}"
7a8b9c0d-1e2f-3a4b-5c6d-7e8f9a0b1c2d,"{""role"": ""Data Analyst"", ""typ_prace"": ""Práca v kancelárii""}",4,2300,550e8400-e29b-41d4-a716-446655440000,2025-03-10,university,false,true,"{""sk"": ""native"", ""en"": ""B2""}","{""current"": ""Junior Analyst"", ""years"": 4}","{""level"": ""intermediate""}"
8b9c0d1e-2f3a-4b5c-6d7e-8f9a0b1c2d3e,"{""role"": ""Frontend Developer"", ""typ_prace"": ""Práca v teréne""}",2,1400,550e8400-e29b-41d4-a716-446655440000,2025-05-01,university,false,true,"{""sk"": ""native"", ""en"": ""B1""}","{""current"": ""Junior Developer"", ""years"": 2}","{""level"": ""beginner""}"
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,"{""role"": ""Backend Developer"", ""typ_prace"": ""Práca v kancelárii""}",1,1200,550e8400-e29b-41d4-a716-446655440000,2025-06-01,university,false,true,"{""sk"": ""native"", ""en"": ""A2""}","{""current"": ""Entry Level"", ""years"": 1}","{""level"": ""beginner""}"
0d1e2f3a-4b5c-6d7e-8f9a-0b1c2d3e4f5a,"{""role"": ""HR Specialist"", ""typ_prace"": ""Práca v kancelárii""}",5,1900,550e8400-e29b-41d4-a716-446655440000,2025-02-20,university,false,true,"{""sk"": ""native"", ""en"": ""C1"", ""de"": ""B1""}","{""current"": ""HR Manager"", ""years"": 5}","{""level"": ""intermediate""}"
1e2f3a4b-5c6d-7e8f-9a0b-1c2d3e4f5a6b,"{""role"": ""Sales Representative"", ""typ_prace"": ""Práca v teréne""}",4,1800,550e8400-e29b-41d4-a716-446655440000,2025-03-05,secondary,false,true,"{""sk"": ""native"", ""en"": ""B2"", ""de"": ""A2""}","{""current"": ""Sales Team"", ""years"": 4}","{""level"": ""basic""}"
